id,captions
71905,"['a bear that is standing in the grass', 'a black bear standing in a lush green forest', 'a black bear standing in the middle of a forest', 'a black bear standing in the middle of a lush green forest', 'a black bear standing in the middle of the grass']"
37950,"['a reflection of a man in a side mirror', 'a man taking a picture of himself in the mirror', 'a man is taking a selfie in the mirror', 'a man taking a picture of himself in a bathroom mirror', 'a man is taking a selfie in the side mirror']"
17458,"['a man with a white hat on and a toothbrush', 'a man with a white baseball cap is talking on his cell phone', 'a man with a white hat on and a cell phone', 'a man with a white hat on and a cell phone in his mouth', 'a man with a white hat on and a cell phone in his hand']"
34281,"['a dog with a helmet on riding a motorcycle', 'a large black bear laying on the back of a motorcycle', 'a large black bear laying on the seat of a motorcycle', 'a large black bear laying on the seat of a bike', 'a dog with a helmet on riding a bike']"
52104,"['a sign that is on the side of a building', 'a sign that is in front of a building', 'a sign that is in front of some buildings', 'a sign in front of a large building', 'a sign in front of a castle like building']"
42317,"['a painting of a bunch of colorful animal heads', 'a wall with a painting of various animals painted on it', 'a wall with a painting of many animals on it', 'a painting of a bunch of colorful animal pictures', 'a wall with a painting of a bunch of birds painted on it']"
90251,"['a woman standing in front of a sign', 'a woman standing in front of a sign holding a cell phone', 'a woman standing in front of a sign that reads UNK', 'a woman standing in front of a sign that reads UNK UNK', 'a woman standing in front of a sign that says UNK']"
80724,"['a man in a yellow shirt and black tie', 'a man with a beard wearing a yellow shirt', 'a man in a yellow shirt is standing in front of a sign', 'a man with a beard wearing a yellow shirt and black pants', 'a man in a yellow shirt and black tie standing in front of a sign']"
97258,"['a picture of a person posing for a picture', 'a man in a black jacket and red tie', 'a picture of a person in a suit', 'a picture of a man in a suit', 'a man in a black jacket and a black jacket']"
78921,"['a large black bear walking across a grass field', 'a large black bear walking across a dry grass field', 'a large black bear walking across a grass covered field', 'a large black bear walking through a field', 'a large black bear walking across a field']"
67801,"['a black and white photo of a man in a suit', 'a black and white photo of a man in a suit and tie', 'a black and white image of a man in a suit', 'a black and white image of a man in a suit and tie', 'a black and white photo of a man in a suit with a beard']"
39028,"['a man sitting in front of a flat screen tv', 'a young man sitting in front of a flat screen tv', 'a young boy sitting in front of a tv screen', 'a man sitting in front of a flat screen tv in a living room', 'a man sitting in front of a flat screen tv in a room']"
20579,"['a group of men standing next to each other', 'a group of men standing around each other', 'a group of men sitting next to each other', 'a group of men standing next to each other with a laptop', 'a group of men standing next to each other in front of a laptop']"
25401,"['there is a sign that says no dogs on it', 'there is a sign that says no UNK', 'there is a sign that says no UNK on it', 'a sign that says no parking is in the sky', 'there is a sign that says no UNK UNK']"
25367,"['a man is standing in front of a sign', 'a man is standing in front of a poster', 'a man standing in front of a wall', 'a man standing in front of a poster', 'a man with a beard in a suit and tie']"
35174,"['a close up of a person eating something', 'a close up of a person holding a cell phone', 'a close up of a person holding something in their mouth', 'a close up of a person holding a small animal', 'a close up of a person holding something in their hand']"
65743,"['a group of young children standing next to each other', 'a group of young children standing around a laptop computer', 'a group of children standing around a table', 'a group of young children standing in front of a laptop', 'a group of young children standing around a laptop']"
74896,"['two men standing in a kitchen preparing food', 'a man standing in a kitchen next to a stove', 'a man standing in a kitchen next to a stove top oven', 'a man standing in a kitchen next to a counter', 'a man standing in a kitchen next to an oven']"
8593,"['a woman is standing in the sand with a horse', 'a woman is standing on the beach with a horse', 'a woman is standing in the water with a horse', 'a woman standing on a beach with a horse', 'a woman standing in the sand with a horse']"
56389,"['a man with a beard is wearing a blue jacket', 'a man with a beard wearing a blue shirt and tie', 'a man with a beard is wearing a blue shirt and tie', 'a man with a beard wearing a blue shirt and a tie', 'a man with a beard is wearing a blue shirt and a tie']"
70428,"['a goat with long horns standing next to a wall', 'a goat with long horns standing in a field', 'a goat with large horns standing next to a wall', 'a goat with long horns standing next to a sign', 'a goat with long horns standing in front of a sign']"
28657,"['a small brown and white dog sitting on a couch', 'a brown and white dog sitting on a couch', 'a brown and white dog sitting on top of a couch', 'a small brown and white dog sitting on top of a rug', 'a small brown and white dog sitting on top of a couch']"
50934,"['a poster of a man with sunglasses on', 'a man is standing in front of a sign', 'a man is standing in front of a poster', 'a man with sunglasses on standing in front of a sign', 'a man with sunglasses on standing in front of a screen']"
18794,"['a large statue of a motorcycle on display', 'a statue of a man on a motorcycle', 'a large figurine of a man on a motorcycle', 'a statue of a person on a motorcycle on display', 'a statue of a person on a motorcycle on a city street']"
9841,"['a man with glasses a beard and glasses', 'a man with a beard wearing glasses and a beard', 'a man with a beard wearing glasses and a tie', 'a man with a beard wearing glasses and a shirt', 'a man with glasses and a beard with a beard']"
47290,"['a woman taking a bite of a piece of pizza', 'two pictures of a woman eating a piece of pizza', 'a woman taking a bite of a piece of food', 'two photos of a woman eating a piece of pizza', 'a woman taking a bite of a piece of pizza with her mouth']"
67140,"['a man taking a selfie in a bathroom mirror', 'a man taking a selfie in a mirror', 'a person taking a selfie in a mirror', 'a man taking a picture of himself in the mirror', 'a man taking a picture of himself in a bathroom mirror']"
35160,"['a man in a jacket is holding a baseball bat', 'a man in a jacket is holding a bat', 'a man in a jacket and tie holding a baseball bat', 'a man in a jacket and tie looking at the camera', 'a man in a jacket and tie holding a bat']"
62038,"['a woman is standing in the middle of a room', 'a woman in a black dress and a black dress', 'a woman in a black dress and black shorts', 'a woman in a black dress standing on a rug', 'a woman in a black dress and black shorts standing in a room']"
2914,"['an image of a man swimming in the water', 'an image of a person swimming in the water', 'an image of a man swimming in the ocean', 'an image of a man swimming in water', 'an image of a man swimming in the water with scissors']"
34518,"['two men standing in front of a herd of sheep', 'two men standing next to a herd of sheep', 'two men standing next to a large herd of sheep', 'two men standing in front of a large herd of sheep', 'a couple of men standing next to each other with a herd of sheep']"
46830,"['a man wearing a striped shirt and tie', 'a man with a shirt and tie on', 'a man in a striped shirt holding a plant', 'a man with a shirt and tie in a room', 'a man in a striped shirt holding a plant in his hand']"
61257,"['a close up of a person wearing a suit and tie', 'a close up of a man wearing a suit and tie', 'a close up of a person wearing a shirt and tie', 'a close up of a man wearing a suit', 'a close up of a man wearing a suit and bow tie']"
65019,"['a man and a woman standing next to each other', 'a man and woman standing next to each other', 'a man and a woman standing together in a room', 'a man and a woman standing next to each other in a room', 'a man and woman standing next to each other in a room']"
94786,"['a man in glasses talking on a cell phone', 'a man is talking on his cell phone', 'a man in glasses talking on his cell phone', 'a man talking on a cell phone next to a window', 'a man talking on a cell phone in front of a window']"
30756,"['a group of people walking down a street', 'a couple of men standing next to each other', 'a couple of men standing next to each other on a street', 'a group of men standing on the side of a street', 'a group of men standing on the side of a road']"
10486,"['a man wearing headphones and a green shirt', 'a man wearing headphones looking at a camera', 'a man with headphones on and a camera in a room', 'a man with headphones on and a camera in front of him', 'a man in a green shirt wearing headphones and a camera']"
6582,"['a large group of people sleeping on a couch', 'a group of people sleeping on a couch', 'a large crowd of people sleeping on a couch', 'a large group of people laying on a couch', 'a large group of people laying on a bed']"
90286,"['a close up of a person sitting at a table', 'a man sitting on top of a wooden table', 'a close up of a person sitting on a table', 'a close up of a person sitting on a bench', 'a man sitting on top of a table next to a wall']"
15298,"['a group of people standing in front of flags', 'a group of men standing in front of flags', 'a group of men in suits standing next to each other', 'a group of people standing in front of a stage', 'a group of men standing in front of a crowd']"
13825,"['a man riding a bike down the street', 'a man carrying a bag of luggage down a sidewalk', 'a man carrying a bag of luggage down the sidewalk', 'a man carrying a bag of luggage down the street', 'a man riding a bike down a street with a bag']"
24051,"['a group of people walking around a sandy beach', 'a group of people walking around a dirt field', 'a large group of people walking on a beach', 'a large group of people in a dirt field', 'a large group of people are walking around a beach']"
87936,"['a sandwich sitting on top of a white plate', 'a sandwich sitting on top of a plate', 'a sandwich sitting on a plate on a table', 'a sandwich sitting on top of a plate on a table', 'a sandwich sitting on top of a white plate on a table']"
16785,"['a little boy that is standing in front of a bowl', 'a little boy that is sitting in front of a bowl', 'a little boy sitting at a table holding a glass', 'a little boy sitting at a table with a glass', 'a little boy sitting at a table with a glass of orange juice']"
60175,"['a man sleeping in bed with a beard', 'a man sleeping in a bed with a blanket', 'a man is laying in bed with a blanket', 'a man sleeping in a bed with a teddy bear', 'a man sleeping in a bed with a large teddy bear']"
68529,"['a woman standing in front of a sign', 'a woman is standing in front of a sign', 'a woman standing in front of a sign with a bird on it', 'a woman standing in front of a sign that reads UNK', 'a woman standing in front of a sign with birds in the background']"
30742,"['a man with a beard wearing a suit and tie', 'a man with a beard and beard in a suit', 'a man with a beard wearing a black suit and tie', 'a man with a beard wearing a suit vest and tie', 'a man with a beard and beard wearing a black jacket']"
10492,"['a man with glasses standing in front of a house', 'a man with glasses on standing in front of a house', 'a man wearing glasses and a t shirt', 'a man with glasses standing in front of a door', 'a man with glasses standing in front of a building']"
96185,"['a little boy that is posing for a picture', 'a little boy that is standing up posing', 'a little boy that is standing up posing for a picture', 'a little boy that is standing up looking at the camera', 'a little boy that is standing up posing for the camera']"
23058,"['a man and a woman standing next to each other', 'a man and a woman are standing together', 'a man and a woman stand next to each other', 'a woman standing next to a man in a suit', 'a man and a woman standing next to each other on a beach']"
52879,"['a woman sitting on top of a sandy beach', 'a woman in a bikini sitting on a beach', 'a woman sitting on the beach with a hat on', 'a woman sitting on top of a beach next to the ocean', 'a woman sitting on top of a sandy beach next to the ocean']"
2519,"['a man wearing a hat and a tie', 'a man in a hat standing in front of a building', 'a man standing in the street with a hat on', 'a man wearing a hat and sunglasses standing in front of a building', 'a man wearing a hat and sunglasses standing in a parking lot']"
98427,"['a close up of a sign on a white background', 'a close up of a sign on a white surface', 'a close up of a red and white sign', 'a close up of a red and white sign on a white surface', 'a close up of a red and white sign on a white background']"
5276,"['a group of people standing next to each other', 'a group of people posing for a picture', 'a group of people that are posing for a picture', 'a group of people posing for a photo', 'a group of people are posing for a picture']"
91365,"['a couple of men standing next to each other', 'two men standing next to each other on a sidewalk', 'a couple of men standing next to each other on a sidewalk', 'two men standing next to each other on the sidewalk', 'a couple of men standing next to each other on a street']"
51627,"['a couple of men standing next to each other', 'two men standing next to each other in the dirt', 'a couple of men standing next to each other on a field', 'a couple of men standing next to each other holding a camera', 'a couple of men standing next to each other on a dirt field']"
85310,"['a large group of people standing in front of a fire', 'a group of people standing in front of a fire', 'a group of people standing in front of a fire truck', 'a large group of people standing in front of a blurry image', 'a large group of people standing in front of a large fire']"
95103,"['a woman is posing for a picture in a room', 'a woman is posing for a picture in the dark', 'a woman is posing for a picture with her hand up', 'a woman is posing for a picture with her hand in her hair', 'a woman is posing for a picture with her hands in her hair']"
76298,"['a man in a suit and tie sitting at a table', 'a man in a suit sitting at a table', 'an old man with glasses and a beard', 'a man in a suit and tie looking at something', 'a man in a suit sitting at a table with another man']"
48376,"['a baby goat is laying in the hay', 'a baby goat is laying in the grass', 'a baby goat laying in the grass next to its mother', 'a baby goat laying on the ground in the grass', 'a baby goat laying on the ground in the hay']"
93572,"['a pan of food sitting on a stove top', 'a pan of food sitting on top of a stove', 'a pan of food sitting on top of a stove top', 'a pan of food sitting on a stove', 'a pan of food sitting on top of a stove top oven']"
79815,"['a female tennis player in the middle of the air', 'a female tennis player in the middle of the court', 'a female tennis player in the middle of the swing', 'a female tennis player in a red top and shoes', 'a female tennis player in the middle of the court with a basket']"
61082,"['a woman talking on a cell phone next to a man', 'a woman talking on a cell phone near a man', 'a woman is talking on a cell phone', 'a girl talking on a cell phone next to a man', 'a woman is talking on a cell phone next to a man']"
85476,"['a little girl posing with a tennis racket', 'a girl poses with a tennis racket in her hand', 'a young girl posing with a tennis racket', 'a girl poses with a tennis racket for a picture', 'a girl poses with a tennis racket for a photo']"
91403,"['a man is looking at something on his phone', 'a man is looking at his cell phone', 'a man is looking at something on his cell phone', 'a close up of a person holding a phone', 'a close up of a person holding a cell phone']"
54039,"['a couple of men standing next to each other', 'two men standing next to each other wearing suits', 'two men standing next to each other in suits', 'a couple of men standing next to each other in suits', 'a couple of men standing next to each other in front of a sign']"
34915,"['a woman holding a baby in front of a mirror', 'a woman is holding a baby in her hands', 'a woman is holding a baby in her arms', 'a woman is holding a baby and a hair dryer', 'a woman holding a baby in front of a camera']"
98341,"['a person riding a motorcycle at night time', 'a man is riding a motorcycle with a helmet', 'a man is riding a motorcycle with his legs crossed', 'a man is riding a motorcycle with a helmet on', 'a man riding a motorcycle with his hand on the handle bars']"
72940,"['a close up shot of a stop sign', 'a close up of a red stop sign', 'a close up shot of a red and white stop sign', 'a close up shot of a red and white sign', 'a close up of a red stop sign with a white background']"
87261,"['a baseball player is wearing a baseball hat', 'a baseball player with a hat and a baseball bat', 'a baseball player wearing a hat and a baseball cap', 'a baseball player with a hat and a baseball glove', 'a baseball player with a hat and a baseball cap']"
63859,"['a person is holding up a kite in the air', 'a person is holding up a kite with their hands', 'a person is holding up a kite with their hand', 'a person is holding up a kite in the air outside', 'a person is holding up a kite in the shape of a paper']"
45120,"['a man in orange shirt holding a pair of scissors', 'a man in an orange shirt holding a pair of scissors', 'a man in an orange shirt is holding a pair of scissors', 'a man wearing an orange shirt holding a pair of black scissors', 'a man wearing an orange shirt holding a pair of scissors']"
81604,"['a woman with a UNK look on her face', 'a close up of a person with a cell phone', 'a close up of a woman with a look on her face', 'a close up of a person with a cell phone in the background', 'a close up of a person with a cell phone in her mouth']"
34901,"['a painting of a woman riding a horse', 'a painting of a person riding a horse', 'a painting of a woman walking a horse', 'a painting of a group of people riding horses', 'a painting of a woman riding a horse in front of a painting']"
42897,"['a man wearing a hat and a hat', 'a man with a hat on looking at something', 'a man with a hat on and a hat', 'a man with a hat on and a baseball bat', 'a man with a hat on looking at his cell phone']"
1762,"['a group of people standing around a white truck', 'a large group of people in a dirt field', 'a large group of people standing around a truck', 'a large group of people standing in front of a truck', 'a group of people gather around a truck']"
20974,"['a black and white image of men in suits', 'a black and white image of men in suits and ties', 'a black and white image of three men in suits', 'a black and white image of men in suits and suits', 'a black and white image of three men in suits and ties']"
71285,"['a close up of a mans face in a crowd', 'a close up of a person with a smile on his face', 'a close up of a mans face in a crowd of people', 'a close up of a person with a smile', 'a close up of a person with a smile on its face']"
70825,"['a grey cat sitting on a wooden floor', 'a grey cat sitting on top of a wooden floor', 'a gray cat sitting on a wooden floor', 'a grey cat sitting on top of a hard wood floor', 'a grey cat sitting on the ground in a room']"
36870,"['a black and white photo of a large amount of snow', 'a man standing in the middle of a snowy field', 'a man standing in the middle of a field covered in snow', 'a black and white photo of a large amount of ice', 'a black and white photo of a large amount of snow on a mountain']"
61928,"['a man standing on a tennis court holding a racquet', 'a man is smiling while holding a tennis racket', 'a man smiling with a tennis racket in his hand', 'a man standing on a tennis court holding a tennis racquet', 'a man standing on a tennis court holding a tennis racket']"
47051,"['an older man is wearing a suit and tie', 'an older man with a white shirt and tie', 'an older man is wearing a white shirt and black tie', 'an older man with a white shirt and a tie', 'an older man is wearing a white shirt and black pants']"
87513,"['a painting of a zebra on a wall', 'a painting of an elephant on a wall', 'a painting of a zebra on a painting', 'a picture of a painting of a zebra', 'a painting of a zebra on a wall with writing on it']"
26493,"['a group of young women standing next to each other', 'a group of beautiful women standing next to each other', 'a group of young women standing next to each other on a beach', 'a group of beautiful women standing next to each other on a beach', 'a group of young women standing on a beach']"
40716,"['a little girl posing for a picture with a smile on her face', 'a little girl posing for a picture with her hands up', 'a little girl posing for a picture with a smile', 'a little girl posing for a picture with her hand up', 'a little girl posing for a picture with her hands up in the air']"
84032,"['a pile of trash sitting next to a building', 'a pile of trash sitting on the side of a road', 'a pile of trash sitting on the side of a street', 'a pile of trash sitting on the side of a sidewalk', 'a pile of garbage sitting on the side of a road']"
80254,"['a group of people sitting at a table eating food', 'a man and a woman eating at a table', 'a group of people sitting at a table with food', 'a woman sitting at a table with a plate of food', 'a man and a woman sitting at a table eating food']"
12736,"['a group of people standing next to each other', 'a group of people standing around drinking wine', 'a group of people holding glasses of wine', 'a group of people standing next to each other drinking wine', 'a group of people standing around each other drinking wine']"
13428,"['a young boy is holding a white dog', 'a boy holding a white dog and smiling', 'a little boy holding a white dog in his hand', 'a little boy holding a white dog next to him', 'a young boy holding a white dog in his hands']"
34097,"['a man sitting on a bike holding a book', 'a man is sitting on a bicycle with a book', 'a man sitting on a bike holding a box of paper', 'a man sitting on a bike with a book in his hand', 'a man sitting on a bike with a book in his lap']"
86143,"['a man sitting in front of a mirror', 'a man sitting at a desk in front of a mirror', 'a man sitting at a table in front of a mirror', 'a man sitting at a table with his hands up', 'a man sitting at a table with his hands in the air']"
45108,"['a woman standing in front of a white wall', 'a pretty young lady standing in front of a white wall', 'a pretty young lady wearing a short skirt', 'a pretty young lady standing in front of a wall', 'a pretty young lady wearing a short skirt and a short skirt']"
63871,"['a group of men sitting next to each other', 'a group of people sitting in chairs next to each other', 'a group of people sitting on top of a bench', 'a group of people sitting in a room', 'a group of men sitting next to each other on a bench']"
4632,"['a man in a suit and tie sitting down', 'a black and white photo of a man in a suit', 'a man in a suit and tie sitting on a bench', 'a man in a suit and tie sitting on the ground', 'a black and white photo of a man in a suit and tie']"
43579,"['a group of young boys standing next to each other', 'a group of young children standing next to each other', 'a group of children standing next to each other', 'a group of young boys standing around each other', 'a group of young boys standing next to each other on a field']"
80532,"['a couple of teddy bears sitting on top of a bed', 'a couple of teddy bears sitting on a bed', 'a couple of teddy bears sitting in a chair', 'two teddy bears sitting on top of a bed', 'a couple of stuffed animals sitting on a bed']"
50263,"['a man holding a plant in his hands', 'a man holding a plant in his hand', 'a man holding a plant in his left hand', 'a man wearing a striped shirt holding a plant', 'a man in a striped shirt holding a plant']"
9316,"['a black and white photo of a woman on a boat', 'a black and white photo of a man on a boat', 'a black and white photo of a man in a car', 'a black and white photo of a man hanging on a wall', 'a black and white photo of a man hanging on to a boat mirror']"
10647,"['a man and woman standing in front of a crowd', 'a man standing in front of a crowd of people', 'a man standing next to a woman in front of a crowd of people', 'a man standing next to a woman in front of a large crowd', 'a man standing next to a woman in front of a crowd']"
30597,"['a close up of a cat laying on the ground', 'a close up of an orange and white cat', 'a close up of a dog laying on the ground', 'a close up of an animal laying on the ground', 'a close up of a cat laying on the floor']"
92136,"['a large group of animals that are standing together', 'a large group of animals that are in the street', 'a large group of animals that are in the dirt', 'a large group of animals that are in the air', 'a large group of animals that are in the middle of the street']"
20948,"['a group of people riding on the back of a boat', 'a group of people on a boat in the water', 'a group of people in a boat in the water', 'a group of people riding on top of a white boat', 'a group of people riding on top of a boat']"
10653,"['a man wearing a hat and holding a baseball bat', 'a bearded man wearing a hat and holding a baseball bat', 'a man wearing a cowboy hat while holding a glass', 'a bearded man wearing a baseball hat and holding a glass', 'a man wearing a cowboy hat while holding a glass of beer']"
68930,"['a colorful bird is flying in the air', 'a colorful bird is flying in the sky', 'a colorful bird is flying in front of a painting', 'a colorful bird is flying in front of the camera', 'a UNK of a bird with a UNK on its face']"
49726,"['a baseball player holding a bat next to trees', 'a baseball player holding a bat next to a tree', 'a baseball player holding a bat in front of a tree', 'a baseball player holding a bat in his hand', 'a baseball player holding a bat next to a forest']"
89264,"['a close up of a stuffed animal on a sign', 'a close up of a red stuffed animal', 'a close up of a stuffed animal on a street', 'a close up of a red stuffed animal on a sign', 'a close up of a stuffed animal on a street sign']"
3149,"['a teddy bear is wearing a red hat', 'a bear with a red hat on his head', 'a teddy bear with a red hat on', 'a bear with a red hat sitting on a tree', 'a teddy bear with a red hat sitting on a tree']"
25830,"['a man wearing a red tie and a black vest', 'a man in a red tie and black vest', 'a man in a suit and tie standing in front of flags', 'a man wearing a red tie and a black jacket', 'a man in a suit and tie standing in front of a flag']"
42673,"['a man holding a baby in his lap', 'a man and woman pose for a picture together', 'a man holding a baby in his arms', 'a man and a woman are looking at each other', 'a man holding a baby in his right hand']"
72968,"['a woman standing in a kitchen talking on a cell phone', 'a woman talking on a cell phone in a kitchen', 'a woman standing in a kitchen talking on a phone', 'a woman standing in a kitchen talking on the phone', 'a woman in a kitchen talking on a cell phone']"
80526,"['a pair of scissors sitting on top of a window sill', 'a pair of scissors hanging from a window', 'a close up of a pair of scissors near a window', 'a pair of scissors sitting on top of a window', 'a close up of a pair of scissors on a window sill']"
